dimensions : physiques / acteurs / concepts / rapports,niveau,nombre,Type de source,Nb de source,Type de destination,Nb de destination,Type de pr̩dicat,Nb de pr̩dicat,complexit̩
physiques,1,1,,,,,,,
somme,1,1,,,,,,,1
acteurs,1,2,,,,,,,
acteurs,2,6,,,,,,,
somme,3,8,,,,,,,24
concepts,1,2,,,,,,,
somme,1,2,,,,,,,2
rapport,1,1,physique,1,acteurs,1,physique,1,5
rapport,1,1,physique,1,acteurs,1,physique,1,5
rapport,1,1,acteurs,6,concepts,2,acteurs,6,16
rapport,1,1,concepts,2,acteurs,6,concepts,2,11
rapport,1,5,concepts,2,acteurs,6,physique,1,15
somme,5,10,,12,,16,,11,52
,,,,,,,,,
total,10,21,,12,,16,,11,79